,,,Eat 400M Left 100M ,,Eat 800M Left 70M,,Eat 800M Again,
,,,SWAP 10M,SWAP 0M,SWAP 50~150MB,,,
,low_off_adjust,low_on_adjust,high_off_adjust,high_on_adjust,,,,
avrora,14308,14094,19856,24952,21859,23185,21321,25412
eclipse,134792,131141,183451,183258,390520,240105,441243,235591
fop,12825,12786,18061,21389,21048,25162,25015,24516
h2,14172,13599,19833,19828,52383,28997,80384,27312
jython,41577,39834,53609,59454,66209,67922,63664,64187
luindex,5050,4961,7106,7966,8705,10216,7759,10578
lusearch,12219,13203,17357,17676,20077,22753,19647,22973
pmd,23357,22658,31705,28719,36636,37712,41527,37277
sunflow,24007,24383,31814,32714,36137,39772,36899,39530
tomcat,24666,24422,32921,33458,38188,42261,41032,41859
tradebeans,24071,23438,33625,38177,44702,43536,71358,41913
tradesoap,90503,85758,118863,122938,295911,153928,437814,164629
xalan,17167,16815,23604,23735,27043,29630,27523,29833
